Time  	KZ11W:	KZ11C:	SD13L:
10:58:34 78.7	16.9	9458	

10:58:35 78.7	16.9	9451	

10:58:36 78.6	16.9	9448	

10:58:38 78.5	16.9	9443	

10:58:39 78.5	16.9	9437	

10:58:40 78.4	16.9	9432	

10:58:41 78.2	16.9	9424	

10:58:42 78.1	16.9	9420	

10:58:43 78.0	16.8	9412	

10:58:44 77.9	16.8	9406	

10:58:45 77.8	16.8	9399	

10:58:46 77.7	16.8	9393	

10:58:47 77.7	16.8	9388	

10:58:49 77.6	16.8	9379	

10:58:50 77.5	16.8	9374	

10:58:51 77.4	16.8	9364	

10:58:52 77.4	16.8	9359	

10:58:53 77.4	16.8	9350	

10:58:54 77.3	16.8	9343	

10:58:55 77.2	16.7	9335	

10:58:56 77.2	16.7	9329	

10:58:57 77.1	16.7	9318	

10:58:58 77.1	16.7	9312	

10:59:00 77.1	16.7	9304	

10:59:01 77.2	16.7	9298	

10:59:02 77.1	16.7	9291	

10:59:03 77.0	16.7	9281	

10:59:04 77.0	16.7	9276	

10:59:05 76.9	16.7	9266	

10:59:06 76.7	16.7	9259	

10:59:07 76.5	16.7	9250	

10:59:08 76.4	16.7	9243	

10:59:09 76.3	16.7	9234	

10:59:11 76.3	16.7	9228	

10:59:12 76.3	16.7	9219	

10:59:13 76.2	16.6	9212	

10:59:14 76.2	16.6	9208	

10:59:15 76.2	16.6	9199	

10:59:16 76.3	16.6	9193	

10:59:17 76.3	16.6	9185	

10:59:18 76.3	16.6	9179	

10:59:19 76.2	16.6	9170	

10:59:20 76.2	16.6	9165	

10:59:22 76.1	16.6	9157	

10:59:23 76.0	16.6	9152	

10:59:24 75.9	16.6	9145	

10:59:25 75.7	16.6	9140	

10:59:26 75.6	16.5	9136	

10:59:27 75.5	16.5	9129	

10:59:28 75.4	16.5	9125	

10:59:29 75.4	16.5	9117	

10:59:30 75.4	16.5	9113	

10:59:31 75.4	16.5	9108	

10:59:33 75.5	16.5	9104	

10:59:34 75.5	16.5	9099	

10:59:35 75.5	16.5	9096	

10:59:36 75.5	16.5	9090	

10:59:37 75.6	16.5	9087	

10:59:38 75.6	16.5	9084	

10:59:39 75.6	16.5	9078	

10:59:40 75.6	16.5	9075	

