Time  	KZ11W:	KZ11C:	SD13L:
14:44:08 120.0	18.7	13609	
14:44:09 119.9	18.7	13608	
14:44:10 119.9	18.7	13609	
14:44:11 119.9	18.7	13608	
14:44:13 120.0	18.7	13609	
14:44:14 120.1	18.7	13609	
14:44:15 120.2	18.7	13609	
14:44:16 120.3	18.7	13610	
14:44:17 120.4	18.6	13610	
14:44:18 120.5	18.6	13611	
14:44:19 120.5	18.6	13611	
14:44:20 120.5	18.6	13613	
14:44:21 120.5	18.6	13614	
14:44:22 120.5	18.6	13617	
14:44:24 120.5	18.6	13618	
14:44:25 120.5	18.6	13618	
14:44:26 120.6	18.6	13622	
14:44:27 120.6	18.6	13623	
14:44:28 120.7	18.6	13625	
14:44:29 120.8	18.6	13626	
14:44:30 120.8	18.6	13629	
14:44:31 120.8	18.6	13630	
14:44:32 120.8	18.6	13632	
14:44:34 120.9	18.6	13633	
14:44:35 120.8	18.6	13635	
14:44:36 120.8	18.5	13636	
14:44:37 120.9	18.5	13635	
14:44:38 121.0	18.5	13636	
14:44:39 121.0	18.5	13636	
14:44:40 121.0	18.5	13638	
14:44:41 121.0	18.5	13638	
14:44:42 121.0	18.5	13638	
14:44:44 121.0	18.5	13638	
14:44:45 121.2	18.5	13639	
14:44:46 121.3	18.5	13639	
14:44:47 121.2	18.5	13639	
14:44:48 121.2	18.5	13640	
14:44:49 121.2	18.5	13641	
14:44:50 121.2	18.4	13641	
14:44:51 121.2	18.4	13642	
14:44:52 121.2	18.4	13643	
14:44:53 121.2	18.4	13644	
14:44:55 121.3	18.4	13645	
14:44:56 121.2	18.4	13646	
14:44:57 121.1	18.4	13647	
14:44:58 121.1	18.4	13647	
14:44:59 121.1	18.4	13648	
14:45:00 121.1	18.4	13649	
14:45:01 121.2	18.4	13649	
14:45:02 121.2	18.4	13645	
14:45:03 121.2	18.4	13645	
14:45:05 121.2	18.4	13644	
14:45:06 121.1	18.4	13644	
14:45:07 121.1	18.4	13644	
14:45:08 121.0	18.4	13641	
14:45:09 121.1	18.4	13640	
14:45:10 121.1	18.4	13639	
14:45:11 121.1	18.4	13638	
14:45:12 121.0	18.4	13637	
14:45:13 121.0	18.4	13636	
14:45:15 121.0	18.4	13635	
14:45:16 121.0	18.4	13635	
14:45:17 121.0	18.4	13633	
14:45:18 121.0	18.4	13632	
14:45:19 121.0	18.3	13632	
14:45:20 121.0	18.3	13631	
14:45:21 121.0	18.3	13630	
14:45:22 121.0	18.3	13630	
14:45:23 121.0	18.3	13630	
14:45:24 121.1	18.3	13632	
14:45:26 121.2	18.3	13632	
14:45:27 121.3	18.3	13634	
14:45:28 121.3	18.3	13635	
14:45:29 121.2	18.3	13637	
14:45:30 121.2	18.3	13639	
14:45:31 121.2	18.3	13642	
14:45:32 121.1	18.3	13644	
14:45:33 121.1	18.3	13647	
14:45:34 121.0	18.3	13648	
14:45:36 121.0	18.3	13653	
14:45:37 121.0	18.3	13654	
14:45:38 121.0	18.3	13659	
14:45:39 121.0	18.3	13661	
14:45:40 121.1	18.3	13665	
14:45:41 121.2	18.3	13668	
14:45:42 121.3	18.3	13673	
14:45:43 121.3	18.3	13676	
14:45:44 121.4	18.2	13680	
14:45:45 121.5	18.2	13684	
14:45:47 121.6	18.3	13688	
14:45:48 121.7	18.2	13691	
14:45:49 121.8	18.2	13695	
14:45:50 121.8	18.2	13699	
14:45:51 121.9	18.2	13702	
14:45:52 121.9	18.2	13705	
14:45:53 121.9	18.2	13706	
14:45:54 122.0	18.2	13710	
14:45:55 122.0	18.2	13712	
14:45:56 122.1	18.2	13715	
14:45:58 122.1	18.2	13718	
14:45:59 122.1	18.2	13721	
14:46:00 122.1	18.2	13724	
14:46:01 122.2	18.2	13726	
14:46:02 122.2	18.2	13729	
14:46:03 122.2	18.2	13731	
14:46:04 122.3	18.2	13733	
14:46:05 122.4	18.2	13736	
14:46:06 122.5	18.2	13739	
14:46:08 122.7	18.2	13742	
14:46:09 122.7	18.1	13745	
14:46:10 122.7	18.1	13747	
14:46:11 122.8	18.1	13751	
14:46:12 122.8	18.1	13753	
14:46:13 122.8	18.1	13756	
14:46:14 122.8	18.1	13760	
14:46:15 122.8	18.1	13764	
14:46:16 122.8	18.1	13768	
14:46:17 122.8	18.1	13771	
14:46:19 122.9	18.1	13775	
14:46:20 123.0	18.1	13778	
14:46:21 123.0	18.1	13781	
14:46:22 123.0	18.1	13784	
14:46:23 123.0	18.1	13788	
14:46:24 123.1	18.1	13790	
14:46:25 123.1	18.1	13794	
14:46:26 123.2	18.1	13797	
14:46:27 123.2	18.1	13799	
14:46:29 123.2	18.1	13803	
14:46:30 123.3	18.1	13806	
14:46:31 123.3	18	13810	
14:46:32 123.3	18	13812	
14:46:33 123.4	18	13816	
14:46:34 123.5	18	13819	
14:46:35 123.5	18	13821	
14:46:36 123.6	18	13824	
14:46:37 123.6	18	13825	
14:46:38 123.7	18	13826	
14:46:40 123.8	18	13828	
14:46:41 123.9	18	13830	
14:46:42 124.0	18	13831	
14:46:43 124.0	18	13832	
14:46:44 124.1	18	13833	
14:46:45 124.3	18	13832	
14:46:46 124.3	18	13831	
14:46:47 124.3	18	13833	
14:46:48 124.3	18	13834	
14:46:49 124.3	18	13836	
14:46:51 124.4	18	13836	
14:46:52 124.4	18	13837	
14:46:53 124.4	17.9	13839	
14:46:54 124.4	17.9	13840	
14:46:55 124.4	17.9	13841	
14:46:56 124.4	17.9	13843	
14:46:57 124.4	17.9	13844	
14:46:58 124.4	17.9	13845	
14:46:59 124.4	17.9	13846	
14:47:01 124.4	17.9	13848	
14:47:02 124.5	17.9	13849	
14:47:03 124.4	17.9	13851	
14:47:04 124.4	17.9	13851	
14:47:05 124.4	17.9	13851	
14:47:06 124.4	17.9	13852	
14:47:07 124.5	17.9	13852	
14:47:08 124.5	17.9	13852	
14:47:09 124.5	17.9	13852	
14:47:10 124.5	17.9	13852	
14:47:12 124.5	17.9	13851	
14:47:13 124.5	17.9	13851	
14:47:14 124.5	17.9	13850	
14:47:15 124.5	17.9	13848	
14:47:16 124.6	17.9	13847	
14:47:17 124.6	17.9	13846	
14:47:18 124.6	17.9	13845	
14:47:19 124.6	17.8	13843	
14:47:20 124.5	17.9	13842	
14:47:21 124.5	17.8	13838	
14:47:23 124.5	17.8	13836	
14:47:24 124.5	17.8	13834	
14:47:25 124.5	17.8	13831	
14:47:26 124.5	17.8	13830	
14:47:27 124.5	17.8	13825	
14:47:28 124.5	17.8	13824	
14:47:29 124.5	17.8	13822	
14:47:30 124.5	17.8	13819	
14:47:31 124.5	17.8	13818	
14:47:32 124.5	17.8	13815	
14:47:34 124.5	17.8	13813	
14:47:35 124.5	17.8	13811	
