Time  	KZ11W:	KZ11C:	SD13L:
10:05:20 260.3	20.3	23682	
10:05:21 259.0	20.3	23293	
10:05:23 252.8	20.3	22483	
10:05:24 244.5	20.3	21889	
10:05:25 238.9	20.3	21634	
10:05:26 237.1	20.3	21623	
10:05:27 236.2	20.3	21597	
10:05:28 235.9	20.3	21705	
10:05:29 238.8	20.3	22101	
10:05:30 242.8	20.2	22548	
10:05:31 253.3	20.3	23706	
10:05:32 262.6	20.2	23978	
10:05:34 265.5	20.3	24258	
10:05:35 280.2	20.3	25894	
10:05:36 304.4	20.2	27807	
10:05:37 327.2	20.3	29370	
10:05:38 360.7	20.3	32021	
10:05:39 382.2	20.3	31875	
10:05:40 377.9	20.3	30235	
10:05:41 370.1	20.3	29949	
10:05:42 375.7	20.3	30678	
10:05:43 395.6	20.3	32552	
10:05:45 415.2	20.3	32984	
10:05:46 434.4	20.3	35317	
10:05:47 455.0	20.3	35813	
10:05:48 464.8	20.3	35709	
10:05:49 468.5	20.3	35673	
10:05:50 471.2	20.3	35624	
10:05:51 472.8	20.3	35519	
10:05:52 473.8	20.3	35428	
10:05:53 474.3	20.3	35360	
10:05:55 474.5	20.4	35244	
10:05:56 473.4	20.4	34950	
10:05:57 470.6	20.4	34754	
10:05:58 467.5	20.4	34405	
10:05:59 462.0	20.4	33702	
10:06:00 452.1	20.4	33034	
10:06:01 442.3	20.4	32864	
10:06:02 436.0	20.4	32259	
10:06:03 419.2	20.4	30921	
10:06:05 412.7	20.4	31621	
10:06:06 426.4	20.4	32678	
10:06:07 433.6	20.4	32927	
10:06:08 438.1	20.4	33340	
10:06:09 442.4	20.4	33775	
10:06:10 448.9	20.4	34271	
10:06:11 454.9	20.4	34375	
10:06:12 455.3	20.5	33077	
10:06:13 436.0	20.5	31620	
10:06:15 413.9	20.5	30829	
10:06:16 405.4	20.5	30295	
10:06:17 391.5	20.5	29238	
10:06:18 365.6	20.5	26921	
10:06:19 351.4	20.5	27310	
