Time  	KZ11W:	KZ11C:	SD13L:
10:00:38 331.4	14.4	27530	
10:00:40 331.5	14.4	27530	
10:00:41 331.5	14.4	27526	
10:00:42 331.6	14.4	27524	
10:00:43 331.7	14.4	27547	
10:00:44 331.7	14.3	27518	
10:00:45 331.6	14.3	27543	
10:00:46 331.6	14.3	27524	
10:00:47 331.6	14.3	27553	
10:00:48 331.5	14.3	27559	
10:00:49 331.5	14.3	27568	
10:00:51 331.6	14.3	27548	
10:00:52 331.6	14.3	27570	
10:00:53 331.5	14.3	27554	
10:00:54 331.5	14.3	27557	
10:00:55 331.6	14.3	27560	
10:00:56 331.5	14.3	27572	
10:00:57 331.5	14.3	27574	
10:00:58 331.5	14.3	27574	
10:00:59 331.6	14.3	27566	
10:01:00 331.5	14.3	27560	
10:01:02 331.5	14.3	27570	
10:01:03 331.5	14.3	27570	
10:01:04 331.5	14.3	27570	
10:01:05 331.5	14.3	27580	
10:01:06 331.6	14.3	27585	
10:01:07 331.6	14.3	27589	
10:01:08 331.6	14.3	27586	
10:01:09 331.5	14.3	27598	
10:01:10 331.6	14.3	27593	
10:01:11 331.7	14.3	27602	
10:01:13 331.7	14.3	27605	
10:01:14 331.2	14.3	27608	
10:01:15 331.5	14.3	27613	
10:01:16 331.7	14.3	27630	
10:01:17 331.9	14.3	27649	
10:01:18 332.0	14.3	27629	
10:01:19 332.0	14.3	27619	
10:01:20 332.1	14.3	27645	
10:01:21 332.2	14.3	27641	
10:01:23 332.4	14.3	27630	
10:01:24 332.3	14.3	27648	
10:01:25 332.3	14.3	27655	
10:01:26 332.3	14.3	27645	
10:01:27 332.3	14.3	27663	
10:01:28 332.3	14.3	27648	
10:01:29 332.4	14.3	27646	
10:01:30 332.4	14.3	27675	
10:01:31 332.4	14.3	27661	
10:01:32 332.4	14.3	27668	
10:01:34 332.4	14.3	27688	
10:01:35 332.6	14.3	27691	
10:01:36 332.6	14.2	27619	
10:01:37 332.7	14.2	27669	
10:01:38 332.7	14.2	27634	
10:01:39 332.7	14.2	27702	
10:01:40 332.8	14.2	27679	
10:01:41 332.8	14.3	27670	
10:01:42 332.8	14.2	27660	
10:01:43 332.8	14.2	27660	
10:01:45 332.8	14.2	27656	
10:01:46 332.8	14.2	27669	
10:01:47 332.9	14.2	27668	
10:01:48 333.0	14.2	27667	
10:01:49 333.0	14.2	27665	
10:01:50 333.1	14.2	27676	
10:01:51 333.1	14.2	27675	
10:01:52 333.2	14.2	27672	
10:01:53 333.3	14.2	27675	
10:01:54 333.4	14.2	27670	
10:01:56 333.4	14.2	27670	
10:01:57 333.5	14.2	27695	
10:01:58 333.4	14.2	27687	
10:01:59 333.5	14.2	27690	
10:02:00 333.5	14.2	27703	
10:02:01 333.5	14.2	27705	
10:02:02 333.6	14.2	27704	
10:02:03 333.6	14.2	27675	
10:02:04 333.6	14.2	27693	
10:02:06 333.7	14.2	27701	
10:02:07 333.7	14.2	27699	
10:02:08 333.7	14.2	27710	
10:02:09 333.7	14.2	27713	
10:02:10 333.8	14.2	27722	
10:02:11 333.8	14.2	27715	
10:02:12 333.9	14.2	27707	
10:02:13 333.9	14.2	27727	
10:02:14 334.0	14.2	27735	
10:02:15 333.9	14.2	27740	
10:02:17 334.0	14.2	27728	
10:02:18 334.0	14.1	27730	
10:02:19 334.1	14.1	27755	
10:02:20 334.2	14.1	27734	
10:02:21 334.3	14.1	27740	
10:02:22 334.4	14.1	27761	
10:02:23 334.4	14.1	27773	
10:02:24 334.5	14.1	27793	
10:02:25 334.6	14.1	27802	
10:02:26 334.8	14.1	27794	
10:02:27 334.9	14.1	27824	
10:02:29 335.0	14.1	27803	
10:02:30 335.1	14.1	27823	
10:02:31 335.2	14.1	27811	
10:02:32 335.2	14.1	27817	
10:02:33 335.2	14.1	27821	
10:02:34 335.2	14.1	27845	
10:02:35 335.3	14.1	27824	
10:02:36 335.4	14.1	27832	
10:02:37 335.4	14.1	27840	
10:02:38 335.4	14.1	27889	
10:02:40 335.5	14.1	27840	
10:02:41 335.6	14.1	27893	
10:02:42 335.7	14.1	27880	
10:02:43 335.7	14.1	27893	
10:02:44 335.8	14.1	27900	
10:02:45 335.9	14.1	27917	
10:02:46 335.9	14	27898	
10:02:47 336.0	14	27913	
10:02:48 336.1	14	27920	
10:02:50 336.2	14	27919	
10:02:51 336.2	14	27919	
10:02:52 336.3	14	27947	
10:02:53 336.4	14	27942	
10:02:54 336.5	14	27943	
10:02:55 336.6	14	27929	
10:02:56 336.7	14	27955	
10:02:57 336.7	14	27955	
10:02:58 336.8	14	27944	
10:02:59 336.8	14	27967	
10:03:01 336.9	14	27966	
10:03:02 337.0	14	27981	
10:03:03 337.0	14	27991	
10:03:04 337.1	14	27974	
10:03:05 337.1	14	27961	
10:03:06 337.1	14	28004	
10:03:07 337.1	14	27996	
10:03:08 337.3	14	28000	
10:03:09 337.3	14	28016	
10:03:10 337.4	13.9	28000	
10:03:12 337.4	13.9	27967	
10:03:13 337.5	13.9	28007	
10:03:14 337.5	13.9	28041	
10:03:15 337.4	13.9	28012	
10:03:16 337.4	13.9	27986	
10:03:17 337.4	13.9	27997	
10:03:18 337.4	13.9	27997	
10:03:19 337.3	13.9	27990	
10:03:20 337.3	13.9	27961	
10:03:22 337.3	13.9	27991	
10:03:23 337.2	13.9	27988	
10:03:24 337.1	13.9	27953	
10:03:25 337.0	13.9	27938	
10:03:26 337.0	13.9	27949	
10:03:27 336.9	13.9	27957	
10:03:28 337.0	13.9	27980	
10:03:29 337.1	13.9	27986	
10:03:30 337.0	13.9	27970	
